Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22pF,
"C10, C12, C14, C16, C3",0805,5,1uF,
"C11, C13, C15, C9",0805,4,100nF,
"C17, C18, C8",0805,3,10uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_SOD-123,61,SOD-123,
D62,D_SMA,1,SS14,C3015375
D63,0805,1,LED,C98224
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3, J4, J5, J6, J7",PinHeader_1x04_P2.54mm_Vertical,6,Conn_01x04,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX61, MX7, MX8, MX9",Kailh_socket_MX,61,MX-NoLED,
"R1, R4",0805,2,10k,
"R2, R3",0805,2,22,
"R5, R6",0805,2,5.11k,
R7,0603,1,620,
SW1,SKQG-1155865,1,SW_Push,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
U2,SO16,1,SL2.1A,C6798314
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
