Designator,Mid X,Mid Y,Rotation,Layer
C1,233.0,-57.25,225.0,top
C10,215.5,-48.0,270.0,top
C11,124.699999,-51.0,0.0,top
C12,124.699999,-53.0,0.0,top
C13,289.699999,-51.0,0.0,top
C14,289.699999,-53.0,0.0,top
C15,334.0,-119.699999,270.0,top
C16,331.999999,-119.699999,270.0,top
C17,177.0,-48.25,90.0,top
C18,174.75,-48.25,90.0,top
C2,238.75,-59.0,135.0,top
C3,213.75,-55.5,180.0,top
C8,206.75,-47.5,270.0,top
C9,213.25,-48.0,270.0,top
D1,54.18125,-73.8,90.0,bottom
D10,225.63125,-73.8,90.0,bottom
D11,244.68125,-73.8,90.0,bottom
D12,263.73125,-73.8,90.0,bottom
D13,282.78125,-73.8,90.0,bottom
D14,311.35625,-73.8,90.0,bottom
D15,58.94375,-92.85,90.0,bottom
D16,82.75625,-92.85,90.0,bottom
D17,101.80625,-92.85,90.0,bottom
D18,120.85625,-92.85,90.0,bottom
D19,139.90625,-92.85,90.0,bottom
D2,73.23125,-73.8,90.0,bottom
D20,158.95625,-92.85,90.0,bottom
D21,178.00625,-92.85,90.0,bottom
D22,197.05625,-92.85,90.0,bottom
D23,216.10625,-92.85,90.0,bottom
D24,235.15625,-92.85,90.0,bottom
D25,254.20625,-92.85,90.0,bottom
D26,273.25625,-92.85,90.0,bottom
D27,292.30625,-92.85,90.0,bottom
D28,316.11875,-92.85,90.0,bottom
D29,61.325,-111.9,90.0,bottom
D3,92.28125,-73.8,90.0,bottom
D30,87.51875,-111.9,90.0,bottom
D31,106.56875,-111.9,90.0,bottom
D32,125.61875,-111.9,90.0,bottom
D33,144.66875,-111.9,90.0,bottom
D34,163.71875,-111.9,90.0,bottom
D35,182.76875,-111.9,90.0,bottom
D36,201.81875,-111.9,90.0,bottom
D37,220.86875,-111.9,90.0,bottom
D38,239.91875,-111.9,90.0,bottom
D39,258.96875,-111.9,90.0,bottom
D4,111.33125,-73.8,90.0,bottom
D40,278.01875,-111.9,90.0,bottom
D41,308.975,-111.9,90.0,bottom
D42,66.0875,-130.95,90.0,bottom
D43,97.04375,-130.95,90.0,bottom
D44,116.09375,-130.95,90.0,bottom
D45,135.14375,-130.95,90.0,bottom
D46,154.19375,-130.95,90.0,bottom
D47,173.24375,-130.95,90.0,bottom
D48,192.29375,-130.95,90.0,bottom
D49,211.34375,-130.95,90.0,bottom
D5,130.38125,-73.8,90.0,bottom
D50,230.39375,-130.95,90.0,bottom
D51,249.44375,-130.95,90.0,bottom
D52,268.49375,-130.95,90.0,bottom
D53,304.2125,-130.95,90.0,bottom
D54,56.5625,-150.0,90.0,bottom
D55,80.375,-150.0,90.0,bottom
D56,104.1875,-150.0,90.0,bottom
D57,175.625,-150.0,90.0,bottom
D58,247.0625,-150.0,90.0,bottom
D59,270.875,-150.0,90.0,bottom
D6,149.43125,-73.8,90.0,bottom
D60,294.6875,-150.0,90.0,bottom
D61,318.5,-150.0,90.0,bottom
D62,204.25,-51.25,180.0,top
D63,204.25,-47.5,90.0,top
D7,168.48125,-73.8,90.0,bottom
D8,187.53125,-73.8,90.0,bottom
D9,206.58125,-73.8,90.0,bottom
J1,195.0,-48.7,180.0,top
J2,265.01,-47.8,90.0,top
J3,290.01,-47.8,90.0,top
J4,337.2,-95.01,0.0,top
J5,337.2,-120.01,0.0,top
J6,100.01,-47.8,90.0,top
J7,125.01,-47.8,90.0,top
MX1,61.61875,-69.8,0.0,top
MX10,233.06875,-69.8,0.0,top
MX11,252.11875,-69.8,0.0,top
MX12,271.16875,-69.8,0.0,top
MX13,290.21875,-69.8,0.0,top
MX14,318.79375,-69.8,0.0,top
MX15,66.38125,-88.85,0.0,top
MX16,90.19375,-88.85,0.0,top
MX17,109.24375,-88.85,0.0,top
MX18,128.29375,-88.85,0.0,top
MX19,147.34375,-88.85,0.0,top
MX2,80.66875,-69.8,0.0,top
MX20,166.39375,-88.85,0.0,top
MX21,185.44375,-88.85,0.0,top
MX22,204.49375,-88.85,0.0,top
MX23,223.54375,-88.85,0.0,top
MX24,242.59375,-88.85,0.0,top
MX25,261.64375,-88.85,0.0,top
MX26,280.69375,-88.85,0.0,top
MX27,299.74375,-88.85,0.0,top
MX28,323.55625,-88.85,0.0,top
MX29,68.7625,-107.9,0.0,top
MX3,99.71875,-69.8,0.0,top
MX30,94.95625,-107.9,0.0,top
MX31,114.00625,-107.9,0.0,top
MX32,133.05625,-107.9,0.0,top
MX33,152.10625,-107.9,0.0,top
MX34,171.15625,-107.9,0.0,top
MX35,190.20625,-107.9,0.0,top
MX36,209.25625,-107.9,0.0,top
MX37,228.30625,-107.9,0.0,top
MX38,247.35625,-107.9,0.0,top
MX39,266.40625,-107.9,0.0,top
MX4,118.76875,-69.8,0.0,top
MX40,285.45625,-107.9,0.0,top
MX41,316.4125,-107.9,0.0,top
MX42,73.525,-126.95,0.0,top
MX43,104.48125,-126.95,0.0,top
MX44,123.53125,-126.95,0.0,top
MX45,142.58125,-126.95,0.0,top
MX46,161.63125,-126.95,0.0,top
MX47,180.68125,-126.95,0.0,top
MX48,199.73125,-126.95,0.0,top
MX49,218.78125,-126.95,0.0,top
MX5,137.81875,-69.8,0.0,top
MX50,237.83125,-126.95,0.0,top
MX51,256.88125,-126.95,0.0,top
MX52,275.93125,-126.95,0.0,top
MX53,311.65,-126.95,0.0,top
MX54,64.0,-146.0,0.0,top
MX55,87.8125,-146.0,0.0,top
MX56,111.625,-146.0,0.0,top
MX57,183.0625,-146.0,0.0,top
